Island,Cocos_percent,Native_percent
Eagle,72.3,27.7
Middle Brother,0,100
Nelson,0,100
South Brother,0,100
Ile Anglaise (PB),70,30
Grande Coquillage,0,100
Ile Longue,0,100
Grande Mapou,84.9,15.1
Ile Poule,55.6,44.4
Yeye,67,33
Ile Anglaise (SAL),91,9
Ile Fouquet,73.6,26.4
Ile de la Passe,66.2,33.8
Auroa,65.75,34.25
Aie,8.28,91.72
Hiranae,89.13,10.87
Honuea,33.98,66.02
Oroatera,90.51,9.49
Tahuna Iti,44.35,55.65
Onetahi,96.48,3.52
Reiono,6.36,93.64
Rimatuu,68.08,31.92
Tauini,39.95,60.05
Tiaraunu,76.1,23.9
Fregate,28,72
Cousine,3,97
Aride,2,98
Felicite,20,80
