Site.Name,Location..distance.to.shore.m..x,Year,Month,Transect,Energy.Urchins.mj.m2.yr,Energy.large.urchins.mj.m2.yr,Energy.Carnivores.mj.m2.yr,Energy.Corallivores.mj.m2.yr,Energy.Herbivores.mj.m2.yr,Energy.Invertivores.mj.m2.yr,Energy.Planktivores.mj.m2.yr,Total.energy.fish.mj.m2.yr,Energy.Parrotfish.mj.m2.yr
Aie-North (Site 2),lagoon,2021,11,1,NA,NA,0.18810375,0.077352499,1.24216277,0.17714635,0.036791694,1.721557063,0.327647737
Aie-North (Site 2),lagoon,2021,11,2,NA,NA,0.243770724,0.055429695,1.25424412,0.091962015,0,1.645406554,0.139954003
Aie-North (Site 2),lagoon,2021,11,3,NA,NA,0.12613167,0.038113337,0.468124877,0.035745601,0.002752095,0.67086758,0
Aie-North (Site 2),lagoon,2021,11,4,NA,NA,0.336799301,0.105964023,0.499944975,0.079148147,0.001761536,1.023617982,0.126926915
Aie-South (Site 1),lagoon,2021,11,1,NA,NA,0,0.040259914,0.604136414,0.306056144,0.005138611,0.955591084,0.346899545
Aie-South (Site 1),lagoon,2021,11,2,NA,NA,0.543654611,0.055885135,0.7087083,0.19755946,0.009008148,1.514815654,0
Aie-South (Site 1),lagoon,2021,11,3,NA,NA,0.347590303,0.080917968,1.64688192,0.679366924,0.195071861,2.949828976,0.639792877
Aie-South (Site 1),lagoon,2021,11,4,NA,NA,0.104896807,0.021077839,1.78216339,0.381600292,0.010689213,2.300427541,0.497138419
Aride,120,2022,11,1,0.97813,0.97813,1.10556004,0.20979073,4.71561776,0.474320224,0.335150299,6.840439053,0.749591054
Aride,120,2022,11,2,0.08601,0.08601,0.785109811,0,2.80809795,0.509646617,0.478695919,4.581550297,0.713365839
Aride,120,2022,11,3,3.28289,3.28289,0.048270528,0,1.16069498,0.633304047,0.356052968,2.198322523,1.005862726
Aride,120,2022,11,4,1.72015,1.72015,0.291315739,0.025890136,1.94878641,0.457962417,0.162858019,2.886812721,0.8260794
Cousine E,130,2022,11,1,0.61552,0.61552,1.29914437,0.09237768,1.62583838,0.334788845,1.97705792,5.329207195,1.187993488
Cousine E,130,2022,11,2,1.69412,1.69412,0.849502858,0.025334108,2.37405408,0.48718274,0.992734934,4.72880872,1.796221809
Cousine E,130,2022,11,3,1.61606,1.61606,0.19114228,0.061583642,2.11178677,0.168892508,0.251426564,2.784831764,1.469899867
Cousine E,130,2022,11,4,2.1443,2.1443,0.191255243,0.033897836,0.643792728,0.712552113,0.376626137,1.958124057,0.434291457
Cousine W,100,2022,11,1,1.5794,1.5794,0.15195036,0.079577513,1.35090659,0.493591844,0.546170093,2.6221964,0.961342395
