Site.Name,Year,Month,Location,Transect,coral_net_PP_MJ_m2_yr,coral_G_kg_m2_yr,Acr_net_PP_MJ_m2_yr,Acr_G_kg_m2_yr
Ile de la Passe,2023,10,lagoon,1,4.390626659,8.416,2.916885014,2.875116104
Ile de la Passe,2023,10,lagoon,2,6.810224775,12.022,6.630383087,5.825497027
Ile de la Passe,2023,10,lagoon,3,8.965374431,17.162,8.300715782,7.895279563
Ile de la Passe,2023,10,lagoon,4,8.538616591,17.55,7.104772963,6.675989488
Ile Anglaise (SAL),2023,10,lagoon,1,5.316864101,7.174751937,3.91096239,4.606206952
Ile Anglaise (SAL),2023,10,lagoon,2,4.611532218,9.856732026,1.580391115,1.926779379
Ile Anglaise (SAL),2023,10,lagoon,3,5.92628649,6.830821126,4.96864296,5.388961075
Ile Anglaise (SAL),2023,10,lagoon,4,4.689936209,8.912089207,3.474353998,6.577906293
Grande Coquillage,2023,10,lagoon,1,3.748832394,9.827506172,0.424032415,0.400453276
Grande Coquillage,2023,10,lagoon,2,3.209886247,10.97926543,0.421597002,0.57477032
Grande Coquillage,2023,10,lagoon,3,2.606829249,6.928293888,1.040889609,1.028436824
Grande Coquillage,2023,10,lagoon,4,1.152636186,3.367198032,0.465098792,0.418655698
Ile Poule,2023,10,lagoon,1,-1.022311489,2.807792393,0,0
Ile Poule,2023,10,lagoon,2,-1.271709363,3.181524143,0,0
Ile Poule,2023,10,lagoon,3,-1.087573679,4.624190238,0,0
Ile Poule,2023,10,lagoon,4,-0.829758316,2.846584256,-0.018604441,0.050562282
Middle Brother,2023,10,lagoon,1,1.143215343,4.352202982,0.463681676,0.527870228
Middle Brother,2023,10,lagoon,2,2.264014326,5.86704574,0.503114412,1.119777459
Middle Brother,2023,10,lagoon,3,1.87586942,3.535006884,0,0
Middle Brother,2023,10,lagoon,4,1.977968523,3.981195846,0,0
Eagle,2023,10,lagoon,1,0.002999666,2.386769513,0,0
Eagle,2023,10,lagoon,2,0.00327844,2.320451164,0,0
Eagle,2023,10,lagoon,3,0.003450652,2.821325672,0,0
Eagle,2023,10,lagoon,4,0.002616292,2.829584438,0,0
