Plot,Motu,RootCore,NativeForestFraction,NativeForestCover ,SoilN15,RootsN15,Npp_MgC_ha_year,Npp_MgC_ha_year_ste,NPP_MJ_m2_year,NPP_MJ_m2_year_ste,Biomass_MgC_ha,Biomass_MJ_m2,Length_Km_m2,Length_Km_m2_ste,Notes
TET-01,Reiono ,1,58.17609451,Under 75,16.53,14.7,0.48896127,0.193134296,1.936286629,0.764811812,2.688584678,10.48548024,6.373072892,1.746474756,
TET-01,Reiono ,2,54.05466475,Under 75,14,13,0.377895518,0.173928648,1.496466251,0.688757446,1.487283755,5.800406645,3.525486052,0.966123014,
TET-01,Reiono ,3,69.26681991,Under 75,16.51,8.8,0.796726973,0.170997209,3.155038813,0.677148948,1.00198909,3.907757451,2.375134234,0.650880988,
TET-01,Reiono ,4,71.11254387,Under 75,15.39,12.7,0.946333823,0.343446996,3.747481939,1.360050104,2.322165874,9.056446909,5.504506704,1.508453169,
TET-05,Aie,1,67.13078629,Under 75,15.89,11.3,1.088690039,0.324937833,4.311212554,1.286753819,1.931404491,7.532477515,4.252674777,1.165401568,
TET-05,Aie,2,68.2034849,Under 75,15.6,12.2,0.960968489,0.381481406,3.805435216,1.510666368,1.827554474,7.127462449,4.024011983,1.102738893,
TET-05,Aie,3,65.60298515,Under 75,15.9,13,0.737289082,0.140064909,2.919664765,0.55465704,0.415674173,1.621129275,0.915254718,0.250816096,
TET-05,Aie,4,69.12648958,Under 75,16.24,10.9,0.665281995,0.245194474,2.6345167,0.970970117,0.149195244,0.581861452,0.32850646,0.0900238,
TET-08,Tauini,1,88.09779219,Over 75,9.19,7.4,2.534610785,0.644427813,10.03705871,2.551934139,6.064233878,23.65051212,13.90514071,3.810560091,
TET-08,Tauini,2,87.04750656,Over 75,12.47,8.2,5.386211513,1.474800671,21.32939759,5.840210657,15.127496,58.9972344,34.68698021,9.505608411,
TET-08,Tauini,3,89.7955743,Over 75,9.09,8.6,2.946670816,1.199713157,11.66881643,4.750864102,11.23810829,43.82862233,25.76870882,7.061648314,
TET-08,Tauini,4,82.75032983,Over 75,11.37,10.7,2.645315713,0.691092258,10.47545022,2.736725342,3.279089051,12.7884473,7.518871398,2.060468994,
TET-09,Iti,1,100,Over 75,18.7,14.8,10.20200794,3.650232365,40.39995144,14.45492017,3.735443835,14.56823096,8.03583144,2.20213655,
TET-09,Iti,2,100,Over 75,16.26,12.2,2.173469325,0.422955633,8.606938527,1.674904307,2.758129261,10.75670412,5.93339448,1.625985432,
TET-09,Iti,3,100,Over 75,18.05,14,2.386597959,0.731817078,9.450927918,2.897995629,4.424938459,17.25725999,9.519098979,2.608610689,
TET-09,Iti,4,100,Over 75,19.37,14.9,9.3854692,2.78132697,37.16645803,11.0140548,21.96116397,85.64853948,47.24370643,12.94664945,
TET-10,Auroa ,1,64.18903317,Under 75,9.34,5.8,1.654958064,0.798409949,6.553633933,3.161703398,2.738750409,10.6811266,5.53806213,1.517648687,
TET-10,Auroa ,2,70.01482821,Under 75,9.16,2.4,1.296910692,0.570240912,5.13576634,2.258154012,3.2311445,12.60146355,6.533738501,1.790503505,
TET-10,Auroa ,3,74.64891652,Under 75,11.34,5.6,1.540402097,0.46671775,6.099992304,1.84820229,2.833997788,11.05259137,5.73066307,1.570428984,
TET-10,Auroa ,4,70.01482821,Under 75,9.66,5.5,2.293668682,0.84428835,9.082927981,3.343381866,4.796944769,18.7080846,9.699963189,2.658174656,
SEY-02,Fregate Airstrip,1,58.17609451,Under 75,14.58,7.1,0.701883134,0.31488952,2.779457211,1.246962499,1.164161977,4.54023171,2.696558895,0.738964094,No matching soil measurements for each core. Soil N15 is the average of the plot 
SEY-02,Fregate Airstrip,2,54.05466475,Under 75,14.58,10.2,0.618417355,0.288745827,2.448932726,1.143433475,2.977491028,11.61221501,6.896789342,1.889993836,SEY02 N15 values are surprisingly low for what we saw of the bird density. Potential contamination from the resort? 
SEY-02,Fregate Airstrip,3,69.26681991,Under 75,14.58,8.6,0.582835098,0.261117454,2.308026988,1.034025118,1.15461234,4.502988126,2.674438984,0.732902361,
SEY-02,Fregate Airstrip,4,71.11254387,Under 75,14.58,10.3,0.55469407,0.379946076,2.196588517,1.504586461,2.066033519,8.057530724,4.785572088,1.311436568,
SEY-02,Fregate Airstrip,5,67.13078629,Under 75,14.58,10.5,1.230618551,0.200686644,4.873249462,0.79471911,3.175216789,12.38334548,7.354783306,2.015502348,
SEY-02,Fregate Airstrip,6,68.2034849,Under 75,14.58,9.8,1.532447166,0.632020261,6.068490777,2.502800234,1.075536177,4.19459109,2.491274155,0.682707933,
SEY-02,Fregate Airstrip,7,65.60298515,Under 75,14.58,10.7,0.628913692,0.134284146,2.49049822,0.531765218,1.105092121,4.309859272,2.559734854,0.70146888,
SEY-02,Fregate Airstrip,8,69.12648958,Under 75,14.58,8.6,0.866165704,0.299378286,3.430016188,1.185538013,0.257846176,1.005600086,0.597251424,0.16367058,
SEY-02,Fregate Airstrip,9,88.09779219,Over 75,14.58,9.6,0.817075592,0.282250493,3.235619344,1.117711952,4.067058805,15.86152934,9.42056502,2.581608476,
SEY-02,Fregate Airstrip,10,87.04800656,Over 75,14.58,11.9,1.025605549,0.634859209,4.061397974,2.514042468,2.493288721,9.723826012,5.775227166,1.582641314,
SEY-03,Fregate Grande Anse,1,89.7955743,Over 75,14.404,9.8,0.708091877,0.19418798,2.804043833,0.768984401,4.005493837,15.62142596,7.93196993,2.173674377,No matching soil measurements for each core. Soil N15 is the average of the plot 
SEY-03,Fregate Grande Anse,2,82.80032983,Over 75,14.404,5,0.754730944,0.317721909,2.988734538,1.25817876,1.969778979,7.682138018,3.900699456,1.068946369,
SEY-03,Fregate Grande Anse,3,100,Over 75,14.404,7,0.655647117,0.310264437,2.596362583,1.228647171,2.598264394,10.13323114,5.145271939,1.410008595,
SEY-03,Fregate Grande Anse,4,100,Over 75,14.404,9.8,0.265279077,0.17235076,1.050505145,0.68250901,1.355335975,5.285810303,2.683934774,0.735504585,
SEY-03,Fregate Grande Anse,5,100,Over 75,14.404,9.8,1.443791062,0.585438538,5.717412606,2.31833661,4.546221082,17.73026222,9.002757308,2.467112591,
SEY-03,Fregate Grande Anse,6,100,Over 75,14.404,9.5,1.258799487,0.593948537,4.984845969,2.352036207,3.538436607,13.79990277,7.007069267,1.92021491,
SEY-03,Fregate Grande Anse,7,64.18903317,Under 75,14.404,9.4,0.642326938,0.275454229,2.543614674,1.090798747,0.813419311,3.172335313,1.610792022,0.441420905,
SEY-03,Fregate Grande Anse,8,70.01482821,Under 75,14.404,10.5,0.321996212,0.166161417,1.275105,0.657999211,1.635497178,6.378438994,3.238730344,0.887540576,
SEY-03,Fregate Grande Anse,9,74.64891652,Under 75,14.404,9,0.70456216,0.67020891,2.790066154,2.654027284,1.708029965,6.661316864,3.38236504,0.92690218,
SEY-03,Fregate Grande Anse,10,70.01482821,Under 75,14.404,10.3,0.15728876,0.059430148,0.62286349,0.235343386,0.049639455,0.193593875,0.098299656,0.026938005,
