"Region","Atoll","Island","Species","Density_birdsha","SeabirdEnergyRequirements_MJha","Ninput_kgha"
"Seychelles",NA,"Fregate","Gygis alba",24.580511475,654.010200795429,1.09804895271899
"Seychelles",NA,"Fregate","Anous stolidus",0,0,0
"Seychelles",NA,"Fregate","Anous tenuirostris",837.05866965,22025.6635280252,33.3351566570236
"Seychelles",NA,"Fregate","Phaethon lepturus",0,0,0
"Seychelles",NA,"Fregate","Puffinus bailloni",0,0,0
"Seychelles",NA,"Fregate","Ardenna pacifica",0,0,0
"Seychelles",NA,"Fregate","Onychoprion fuscatus",0,0,0
"Seychelles",NA,"Aride","Gygis alba",30.681818175,819.9652598392,1.370603632428
"Seychelles",NA,"Aride","Anous stolidus",57.95454546,2531.98715588705,3.57176603240185
"Seychelles",NA,"Aride","Anous tenuirostris",1622.727273,42826.8749205951,64.6237471976701
"Seychelles",NA,"Aride","Phaethon lepturus",20.45454546,1971.11946861497,3.37619376792185
"Seychelles",NA,"Aride","Puffinus bailloni",329.6774193,18246.047688152,3.61752524475021
"Seychelles",NA,"Aride","Ardenna pacifica",226.78821885,18854.3008246365,3.49043461699949
"Seychelles",NA,"Aride","Onychoprion fuscatus",102.206242425,3451.14857479723,6.09872136561214
"Seychelles",NA,"Cousine","Gygis alba",45.83333334,1222.88431238169,2.04744493314524
"Seychelles",NA,"Cousine","Anous stolidus",65.625,2863.25131485496,4.04449977160379
"Seychelles",NA,"Cousine","Anous tenuirostris",3145.833333,82932.7354997024,125.280163475625
"Seychelles",NA,"Cousine","Phaethon lepturus",51.04166667,4909.93160405503,8.42485389140484
"Seychelles",NA,"Cousine","Puffinus bailloni",0,0,0
"Seychelles",NA,"Cousine","Ardenna pacifica",331.245,27498.1323011633,5.09809998319494
"Seychelles",NA,"Cousine","Onychoprion fuscatus",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Ardenna pacifica",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Puffinus bailloni",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Phaethon lepturus",0.00616016427104723,0.580118570790368,0.00101678662388054
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Phaethon rubricauda",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Sula dactylatra",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Sula sula",0.0616016427104723,17.6962822551963,0.0208442051069858
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Sula leucogaster",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Fregata minor",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Fregata ariel",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Thalasseus bergii",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Sterna dougallii",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Sterna sumatrana",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Sternula albifrons",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Onychoprion anaethetus",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Onychoprion fuscatus",0,0,0
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Anous stolidus",0.246406570841889,10.5492222262645,0.0151861534398734
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Anous tenuirostris",0.0616016427104723,1.59630632926782,0.00245323354806446
"Chagos Archipelago","Great Chagos_bank","Eagle Island","Gygis alba",0.123203285420945,3.2235312265553,0.00550367874426042
